Abreviacion,Nombre
MCD CREDIT UNION LOAN,Mobile Check Deposit CREDIT UNION LOAN
MDG CARD (COMENITY BANK),MDG Card of Comenity Bank
MERCURY (CC/FB&T),Mercury Financial
MERRICK,Merrick Bank
MERRICK BANK,Merrick Bank
MERRICK BK,Merrick Bank
MERRICKBK,Merrick Bank
MIDFL CU,MIDFLORIDA Credit Union
MIDHUDSON CU,Mid-Hudson Valley Federal Credit Union
MIDLAND CRED,Midland Credit Management (Collection)
MIDLANDCRE,Midland Credit
MIDLANDFUN,Midland Funding
MIDNIGHT,Midnight Bank
MISSIONLNTAB,Mission Lane TAB BANK
MISSIONLNWEB,Mission Lane Web
MNTRY FIN,Monterey Financial
MOBI LOANS,Mobiloans Credit
MOBILOANSLLC,Mobiloans - Limited Liability Company
MONT WARDS,Montgomery Wards
MONTGOMERYWD,Montgomery Ward
MOUNTAIN AMERICA CU FINANCIAL,Mountain America Credit Union
MRV BK/REVVI,MRV Banks Personal Credit Card
MRV/REVVI,MRV Bank / Revvi Credit Card
MSCB INC,Mscb Inc
MSU FED CU,Michigan State University Federal Credit Union
MT AMERICA,Mountain America Credit Union
MTAMERICA,Mountain America Credit Union
MTN AMER CU,Mountain America Credit Union
MYPAYDAYLOAN,My Payday Loan & Fast Cash Advances
NATCREADJ,National Credit Adjusters
NAVIENT,NAVIENT
NAVY FCU,Navy Federal Credit Union
NC LGEFCU,NO SE ACEPTA! (local government federal credit union)
NCB,"NCB Management Services, Inc."
NCSTATEEMP,State Employees' Credit Union
NEBR FURN,Nebraska Furniture Bank (UNACCEPTABLE CREDITOR)
NEBRSKA FURN,Nebraska Furniture Mart (NFM) (UNACCEPTABLE CREDITOR)
NET CREDIT,Net Credit
NETCREDIT,NetCredit
NJERSYFCU,NORTH JERSEY FEDERAL CREDIT UNION / NEW JERSEY FEDERAL CREDIT UNION
NOFFCU,New Orleans Firemen's Federal Credit Union
NORTH AMERICAN RECOV,North american recovery (collection agency)
NORTH STAR,NORTH STAR
NORTHEASTF,Northeast Family Federal Credit Union
NRTHWSTFCU,Northwest federal credit union
NUMERICA CU,Numerica Credit Union
NWFCUCC,Northwest federal credit union credit card
OCCU CRD SRV,Oregon Community Credit Union Services
ONEMAIN,OneMain Financial
"OPORTUN,IN",Oportun
OPORTUNPROG,Oportun
OPORTUNWEBBK,Oportun Web Bank
OPP LOANS,OPP LOANS
OPRTUNMETABK,Oportun and Meta Bank
OPTMBNK/GSKY,Optum Bank - Green Sky
OSWEGO CTY,Oswego County Federal Credit Union
P&F CREDIT UNION,Police & Fire Federal Credit Union
PCI,preferred credit inc
PERSONIFY,Personify Financial
PETALCARD2,Petal Credit Card
PITT POLICE FCU,Pittsburgh (PA) Police Federal Credit Union
PLUS FINAN,Plus Finance
PORTFOLIO RC,Portfolio Recovery Associates
PREFERD CR,Preferred Bank
PRIOTYONE CU,Priority One Credit Union
PROSPER,PROSPER
PROSPERMP,Prosper (Marketplace)
PRSPR/COAS,Prosper / Coastal Community Bank
PUBLIX ECU,Publix employees credit union
RAND BRKS,Randolph-Brooks Federal Credit Union
RAVEFIN CU,Rave Financial Credit Union
RCKLNS/CRB,Rocket Loans / Cross River Bank
RED RIVER CREDIT -,Red River Credit Union
REDRIVERCR,Red River Bank
REGIONAL FIN,Regional Finance
REGIONALFN,Regional Financial bank
REGIONSBANK,Regions Bank
REPUBLIC 044,Republic Finance
REPUBLIC/NC,REPUBLIC BANK
REPUBLICFI,republic finance
RESURGENTR,Resurgent Capital Services
REVVI/MRV,MRV Banks (Revvi is a type of CC)
RFFC FINL,RFFC Financial (UNACCEPTABLE CREDITOR)
RIVER VALLEY LOANS,RIVER VALLEY LOANS
"RMP, LLC",RMP Limited Liability Company
ROCKETLOANS,Rocketloans
ROYAL PRST,Royal Prestige
S&T BANK,S&T BANK
SALLIEMAE,Sallie Mae
SANTANDER,Santander Bank
SCHOOLS FIN,Schools of Banking and Finance
SCHOOLSFIRST,School First Credit Union
SCHOOLSFST,Schools First Federal Credit Union
SCRTY FRT BK,Security First Bank
SDFCU,State Department Federal Credit Union
SEARS/CBNA,Citi Bank of America - Sears
SEC SER CU,Security service federal credit union
SECCREDIT,SEC CREDIT
SECFIRST,Security First Bank
SECURITY,Security Bank
SECURITY FINANCE CORP,Security Finance Corporation
SETF/WOFC,Southeast Toyota Finance -Western Ohio Financial Corporation
SHELL FCU,Shell Federal credit union
SNAP FINANCE,Snap Finance
SOFI BANK,SoFi Bank
SOFIBANK,SoFi Bank
SOL FIN GA,Solfin Bank
SOUND CU,Sound Credit Union
SOUTHLANDC,Southland Credit Union
SOUTHWEST CREDIT SYS,Southwest credit System
SPOTLOAN,SpotLoan
SPRINGLIGHT,Spring Light Bank
SPRINGOAKS,Spring Oaks Capital LLC
SRP CU,SRP Federal Credit Union
SST/ICW,System and Services Technologies Insurance Companies
SST/MARCUS,Systems & Services Technologies y Marcus by Goldman Sachs
SSTCORP,SST Corporation
STHRN MGMT,Southern Management Systems
SUN LOANS,Sun Loan Company
SUNBELT,Sunbelt personal loan
SUNCOAST CREDIT UNION,Suncoast Credit Union
SUNCOAST CU,Suncoast Credit Union
SUNCOASTCU,Suncoast Credit Union
SUNCST CU,Suncoast Credit Union
SUNSETFINA,Sunset finance (UNACCEPTABLE CREDITOR)
SW CRDT SYS,Southwest Credit Systems
SYNCB,Synchrony bank
SYNCB/ ASHH,Synchrony Ashley advantage credit card
SYNCB/ ZUL,Synchrony bank Zulily
SYNCB/AMAZON,Synchrony bank Amazon
SYNCB/AMAZON PLCC,Synchrony Bank/Amazon Private Label Credit Card
SYNCB/AMER,Synchronity bank american signature
SYNCB/B&H,Synchrony Bank B&H
SYNCB/BELK,Belk Synchrony Bank
SYNCB/BMRT,Synchrony Blue Moon Rendering Tools
SYNCB/CARE,Synchrony Bank Care
SYNCB/CARE CREDIT,Synchrony Bank/CareCredit
SYNCB/CARECER,Synchrony Bank/CareCredit
SYNCB/CARECR,Synchrony Bank Care Credit
SYNCB/CCAMTR,Synchrony Bank/America's Tire Credit Card
SYNCB/CCDC,synchrony bank credit cards
